# sensor:g_force
# Inertial correction: sensor=g_force; operation=add; unit=1; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,gFTotal
0.000,0.004,-0.519,-0.873,1.016
0.010,0.014,-0.535,-0.918,1.062
0.020,0.034,-0.527,-0.880,1.026
0.030,0.039,-0.530,-0.870,1.020
0.040,0.034,-0.539,-0.894,1.045
0.050,0.021,-0.537,-0.916,1.062
0.060,0.018,-0.529,-0.961,1.097
0.070,0.027,-0.516,-0.986,1.113
0.080,0.032,-0.502,-0.996,1.116
0.090,0.025,-0.507,-1.014,1.134
0.100,0.025,-0.536,-1.023,1.155
0.110,0.048,-0.553,-1.012,1.154
0.120,0.061,-0.571,-0.985,1.140
0.130,0.080,-0.611,-0.986,1.163
0.140,0.108,-0.631,-0.991,1.180
0.151,0.135,-0.639,-0.973,1.172
0.160,0.167,-0.663,-0.953,1.173
0.170,0.181,-0.679,-0.932,1.168
0.181,0.186,-0.689,-0.913,1.159
0.190,0.193,-0.697,-0.888,1.145
0.201,0.199,-0.691,-0.875,1.132
0.211,0.206,-0.683,-0.859,1.117
0.220,0.211,-0.671,-0.851,1.104
0.230,0.193,-0.631,-0.861,1.085
0.241,0.199,-0.599,-0.782,1.005
0.250,0.227,-0.559,-0.748,0.961
0.260,0.233,-0.540,-0.700,0.914
0.270,0.203,-0.539,-0.661,0.877
0.280,0.159,-0.538,-0.639,0.850
0.290,0.121,-0.546,-0.616,0.832
0.301,0.094,-0.562,-0.605,0.831
0.310,0.087,-0.562,-0.616,0.838
0.320,0.091,-0.554,-0.642,0.853
0.330,0.100,-0.537,-0.670,0.864
0.341,0.116,-0.521,-0.703,0.882
0.351,0.156,-0.522,-0.740,0.919
0.360,0.199,-0.493,-0.762,0.929
0.370,0.233,-0.472,-0.790,0.950
0.381,0.255,-0.482,-0.809,0.976
0.390,0.263,-0.492,-0.799,0.974
0.401,0.264,-0.513,-0.796,0.983
0.410,0.267,-0.536,-0.803,1.002
0.420,0.266,-0.536,-0.792,0.992
0.431,0.260,-0.538,-0.788,0.989
0.441,0.248,-0.535,-0.808,1.001
0.451,0.234,-0.535,-0.809,0.998
0.461,0.220,-0.540,-0.809,0.997
0.470,0.208,-0.536,-0.803,0.988
0.481,0.188,-0.532,-0.766,0.952
0.491,0.150,-0.544,-0.729,0.922
0.500,0.107,-0.566,-0.677,0.889
0.511,0.065,-0.596,-0.624,0.866
0.520,0.019,-0.639,-0.593,0.872
0.531,-0.005,-0.677,-0.583,0.893
0.541,-0.001,-0.688,-0.591,0.907
0.551,0.016,-0.688,-0.610,0.919
0.561,0.054,-0.689,-0.641,0.943
0.570,0.116,-0.683,-0.651,0.950
0.581,0.200,-0.660,-0.633,0.936
0.591,0.252,-0.646,-0.673,0.966
0.601,0.267,-0.643,-0.740,1.016
0.611,0.269,-0.626,-0.796,1.048
0.620,0.259,-0.607,-0.883,1.102
0.631,0.259,-0.594,-0.995,1.188
0.641,0.251,-0.584,-1.119,1.287
0.651,0.252,-0.566,-1.206,1.356
0.661,0.276,-0.549,-1.217,1.363
0.670,0.303,-0.557,-1.165,1.326
0.681,0.330,-0.609,-1.036,1.246
0.691,0.377,-0.666,-0.925,1.201
0.701,0.419,-0.699,-0.879,1.199
0.711,0.432,-0.730,-0.982,1.298
0.720,0.421,-0.729,-1.104,1.389
0.731,0.409,-0.688,-1.238,1.474
0.741,0.416,-0.656,-1.202,1.431
0.750,0.460,-0.580,-0.798,1.088
0.761,0.579,-0.503,-0.612,0.981
0.770,0.628,-0.423,-0.389,0.851
0.781,0.613,-0.416,-0.317,0.806
0.791,0.527,-0.447,-0.333,0.766
0.801,0.421,-0.524,-0.331,0.749
0.811,0.291,-0.591,-0.362,0.752
0.820,0.188,-0.583,-0.498,0.789
0.830,0.054,-0.643,-0.776,1.009
0.841,0.008,-0.819,-0.916,1.228
0.850,0.014,-0.694,-0.827,1.079
0.861,0.193,-0.787,-0.605,1.011
0.870,0.227,-1.230,-0.471,1.337
0.881,0.134,-1.342,-0.562,1.461
0.891,0.053,-1.271,-0.475,1.358
0.901,-0.090,-1.284,-0.240,1.309
0.911,-0.026,-1.460,-0.104,1.464
0.920,-0.190,-1.416,0.013,1.429
0.931,-0.253,-1.242,0.191,1.281
0.941,-0.241,-1.127,0.327,1.198
0.951,-0.251,-1.079,0.334,1.157
0.961,-0.160,-0.997,0.155,1.022
0.971,-0.140,-0.904,-0.058,0.917
0.981,-0.171,-0.826,-0.184,0.864
0.991,-0.248,-0.824,-0.242,0.894
1.001,-0.430,-0.852,-0.564,1.109
1.011,-0.637,-0.745,-0.695,1.201
1.020,-0.665,-0.549,-0.135,0.873
1.031,-0.552,-0.738,0.053,0.923
1.041,-0.375,-0.957,0.028,1.029
1.051,-0.192,-0.976,0.037,0.995
1.061,-0.071,-0.954,0.005,0.956
1.071,0.006,-0.909,-0.046,0.910
1.081,0.035,-0.828,-0.074,0.832
1.091,0.019,-0.754,-0.153,0.769
1.101,-0.067,-0.715,-0.263,0.765
1.111,-0.098,-0.698,-0.312,0.771
1.121,-0.089,-0.770,-0.239,0.811
1.131,-0.051,-0.871,-0.128,0.882
1.141,-0.066,-0.941,-0.000,0.943
1.151,-0.089,-0.940,0.028,0.945
1.161,-0.096,-0.891,0.017,0.896
1.170,-0.074,-0.891,0.055,0.895
1.181,-0.026,-0.957,0.131,0.967
1.191,0.025,-0.968,0.168,0.983
1.201,0.098,-0.931,0.124,0.944
1.211,0.181,-0.951,0.122,0.976
1.221,0.229,-0.985,0.161,1.024
1.231,0.241,-0.977,0.132,1.014
1.241,0.222,-0.914,0.023,0.941
1.251,0.144,-0.824,-0.141,0.848
1.261,0.061,-0.744,-0.262,0.791
1.271,-0.007,-0.750,-0.283,0.801
1.281,-0.134,-0.811,-0.093,0.827
1.291,-0.139,-0.869,0.048,0.881
1.301,-0.092,-0.955,0.012,0.960
1.311,-0.098,-0.963,0.083,0.972
1.321,-0.021,-0.907,0.075,0.911
1.331,0.046,-0.910,-0.269,0.950
1.341,0.060,-0.727,-0.454,0.860
1.351,0.119,-0.567,-0.391,0.699
1.361,0.136,-0.563,-0.354,0.679
1.371,0.195,-0.478,-0.238,0.569
1.381,0.227,-0.434,-0.193,0.527
1.391,0.287,-0.598,-0.184,0.688
1.401,0.426,-0.842,-0.074,0.946
